,title,guid,specialization,city,companyName,totalCompensation,totalCompensationNumber,totalCompensationDetails,baseSalary,baseSalaryNumber,oldYearForData,otherContext
964,Senior Consultant,ggkzjvpx3fwajrenvjebc,,Hybrid option,Capgemini,"€51,500",51500,"€49K salary, €2K bonus, €1K equity/year, €11K benefits","€4,050/month",48600,2022,
965,Senior Software Engineer,gbkzid5ajjuji55b3tdo,,Amsterdam (remote from anywhere),🔒 Series B startup,"$169,000",166000,"$150K salary, $19K equity/year, $2K benefits","$12,500/month",147000,2022,
966,Software Developer,sskzecq4z5feiczm8xgp6,,London,Thoughtbot,"€63,000",63000,"€60K salary, €3K bonus","€5,000/month",60000,2021,
967,Technical support engineer,fukzew9t33s5t1zbrrb8,,Amstelveen,Meanwell,"€78,000",78000,€78K salary,"€6,500/month",78000,2022,
968,Project Manager,vtkz4lsweyx5n9otww40b,,Amsterdam,Infosys Ltd,"€90,000",90000,"€75K salary, €15K bonus","€6,250/month",75000,2022,
969,Software Engineer,y0kz2x4m5eiapboius4ve,,Flexible days,Mendix,"€60,000",60000,€60K salary,"€5,000/month",60000,2022,
970,Systems Engineer,46kymskyhv6qsakxw2s56,,Amsterdam,🔒 US-based cloud solutions company,"€140,000",140000,"€105K salary, $3K sign-on, €32K equity/year, $13K relocation","€8,750/month",105000,2022,
971,Tech Lead,9dkzpxq33dryzreo0q5xb,,Amsterdam,Netflix,"€218,000",218000,€218K salary,"€18,192/month",218000,2021,
972,Senior Software Engineer,rwkz5qw9746lkok34lrpx,,Amsterdam,🔒 Dutch FinTech company,"€118,000",118000,"€100K salary, €5K sign-on, €13K equity/year","€8,333/month",100000,2022,
973,Senior Data Engineer,1qkyepnhkbavh3osbkbjj,,Rotterdam,Coolblue,"€81,000",81000,€81K salary,"€6,750/month",81000,2022,
974,🔒 Mid-level position within software engineering,tlkydq62pot14xfybvnp,,Rotterdam,Swisscom,"€57,000",57000,"€57K salary, €7K relocation","€4,752/month",57000,2022,
975,🔒 Senior-level position within software engineering,6kkzlg1q6g3ib4f3q3bs8,,Eindhoven (hybrid option),TomTom,"€89,500",89500,"€81K salary, €0K bonus, €7K sign-on, €2K equity/year, €1K benefits, €10K relocation","€6,750/month",81000,2022,
976,Software Engineer,fjkz8k63okbi1td8ups1g,,Amsterdam,Getir,"€90,000",90000,€90K salary,"€7,500/month",90000,2022,
977,Software Engineer,h3kydi64bbygirld3shv,,Utrecht (flexible days),🔒 CAD Software,"€54,000",54000,"€52K salary, €2K bonus, €12K benefits","€4,320/month",52000,2022,
978,Developer,slkzeegby47d14abpmbb,,Amsterdam,Booking.com,"€50,500",50500,"€50K salary, €1K bonus","€4,167/month",50000,2017,
979,Senior Software Engineer,03kxtcs8uzx65kuv79n3s,,,Adyen,"€98,500",98500,"€97K salary, €2K equity/year","€8,042/month",96500,2021,
980,Engineering Manager,nzkxp50ktgzklcazcqhh,,Remote within country,🔒 Scaleup,"€140,000",140000,"€105K salary, €16K bonus, €20K equity/year","€8,750/month",105000,2021,
981,Senior Software Engineer,q1kx4tlwur1hrcj20dv2a,,Amsterdam,Catawiki,"€90,000",90000,€90K salary,"€7,500/month",90000,2020,
982,Junior Software Engineer,ogkx4tfb8hpfzonnut5k,,Nieuwegein (hybrid option),🔒 Benelux IT service provider,"€36,300",36300,"€36K salary, €0K sign-on","€3,000/month",36000,2021,
983,Frontend Engineer,dqkwy94em9aqmr26rwl7,,Amsterdam,Flow Traders,"€77,000",77000,"€70K salary, €7K bonus, €2K relocation","€5,833/month",70000,2021,
984,Test Development Engineer,rykwwedg70jvfzymlhsl,,Overijssel (hybrid option),🔒 Electronics industry,"€37,700",37700,"€37K salary, €1K bonus, €1K benefits","€3,056/month",36700,2021,
985,Digitization Engineer,cokww42he9zgkyloqknrm,,Hybrid option,🔒 Manufacturing industry,"€46,700",46700,"€47K salary, €7K benefits","€3,888/month",46700,2021,
986,Tech Lead,cekwv9hzdnh9aqkpxnd7a,,Amsterdam,Mambu,"€98,000",98000,€98K salary,"€8,167/month",98000,2021,
987,Design Engineer,57kwv8rdvq06xrt1w6xrpr,,Flexible days,NXP,"€81,500",81500,"€75K salary, €3K bonus, €3K equity/year","€6,250/month",75000,2021,
988,Backend Engineer,pskwqa1xeerrb89787l0p,,Amsterdam,Backbase,"€68,000",68000,"€65K salary, €3K bonus, €4K benefits, €3K relocation","€5,400/month",65000,2021,
989,Data Engineer,o2kwq9914k8zvej2mg5zw,,Amsterdam,Just Eat Takeaway.com,"€50,000",50000,€50K salary,"€4,167/month",50000,2021,
990,Data Ops Specialist,4ykwpfup9uwd1pu3xlau,,Hybrid option,🔒 Local Startup,"€54,000",54000,€54K salary,"€4,500/month",54000,2021,
991,Senior Consultant,sbkwpfppyrwmswucndoaf,,,🔒 FinTech industry,"€82,000",82000,"€75K salary, €7K bonus, €11K benefits","€6,250/month",75000,2021,
992,Software Developer,4pkwb375ck2q7u29fsvfj,,Amsterdam,Optiver,"€175,000",175000,"€75K salary, €100K bonus","€6,250/month",75000,2020,
993,Senior Software Engineer,wnkw509rt9u168d2hn3on,,Amsterdam (remote from anywhere),Castor,"€75,000",75000,€75K salary,"€6,250/month",75000,2021,
994,Senior DevOps Engineer,olkwpfscpwzf6sr45dzwa,,Rotterdam,Local startup,"€70,000",70000,"€65K salary, €5K bonus, €2K relocation","€5,400/month",65000,2021,
995,Backend Engineer,3vl4sdm5htmcao9elr1n,,Remote from anywhere,Trendyol,"€95,000",95000,"€80K salary, €15K sign-on, €4K benefits","€6,667/month",80000,2022,
996,Senior Android Developer,pxkw1e17u3igql13wl31h,,,Catawiki,"€79,000",79000,"€78K salary, €1K sign-on, €4K relocation","€6,480/month",78000,2021,
997,Lead Developer,avkw17iiyfbxwc2hnt698,,Utrecht,Capgemini,"€78,000",78000,"€75K salary, €3K bonus","€6,250/month",75000,2021,
998,Lead Software Engineer,pakvphqc7hmb7n8cx9w5k,,Amsterdam,FIBR,"€97,000",97000,"€81K salary, €16K bonus","€6,750/month",81000,2021,
999,Senior Software Engineer,takvmr284gpjok64jwbnq,,Utrecht (flexible days),Bol.com,"€81,500",81500,"€74K salary, €7K bonus","€6,176/month",74000,2021,
1000,Lead Engineer ,z7kvimksjx3iz5r8pv7gb,,Utrecht,🔒 Development agency,"€85,500",85500,"€73K salary, €12K bonus","€6,112/month",73500,2021,
1001,Android Engineer,6jkvcal9q94qtddlvopiq,,Amsterdam,Backbase,"€58,000",58000,"€58K salary, €3K relocation","€4,833/month",58000,2021,
1002,Data Scientist ,dlldbhg7lpqdiaqk1i6fp,,,Ageas,"€31,500",31500,"€30K salary, €2K bonus","€2,500/month",30000,2023,
1003,Senior Software Engineer,b6l0p51ockbthq2zq4f4n,,,TripActions,"€151,000",151000,"€113K salary, €38K equity/year","€9,450/month",113000,2022,
1004,🔒 Senior-level position within software engineering,txl2opf6448oihq25ixcg,,,Meta,"€232,000",232000,"€125K salary, €19K bonus, €0K sign-on, €88K equity/year, €0K relocation","€10,417/month",125000,2022,
1005,Senior Software Engineer,kll2h8mre29bv8t0tguwc,,Remote within country,🔒 Big Tech,"€256,000",256000,"€120K salary, €18K bonus, €35K sign-on, €83K equity/year","€10,000/month",120000,2022,
1006,Lead Platform Engineer,uel3e5tjglg5tpijh8pkk,,The Hague (flexible days),🔒 Government organisation,"€301,000",301000,€301K salary,"€25,080/month (€165/hour)",301000,2022,Freelance
1007,Data Engineer,08l2waki5nlai7t1ld9bo,,Amsterdam,🔒 Local Startup,"€48,000",48000,€48K salary,"€4,000/month",48000,2022,
