,Company,Level,Years of Experience,City,Total Compensation,Salary,netherlands
19,Van Lanschot Kempen,Senior,20  yrs,"Amsterdam, NH, Netherlands ","8,7 χιλ. | N/A | N/A",8.7,netherlands
20,TomTom,Software Engineer IV,15  yrs,"Amsterdam, NH, Netherlands ","8,7 χιλ. | N/A | 208,3",8.7,netherlands
21,ABN AMRO,L2,7  yrs,"Amsterdam, NH, Netherlands ","7,1 χιλ. | N/A | N/A",7.1,netherlands
22,NN Group,hidden,5-10  yrs,"The Hague, ZH, Netherlands ","8,8 χιλ. | N/A | N/A",8.8,netherlands
23,Booking Holdings,Software Engineer I,7  yrs,"Amsterdam, NH, Netherlands ","8,9 χιλ. | N/A | N/A",8.9,netherlands
24,Booking.com,Senior Software Engineer I,8  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | 5 χιλ. | 3,3 χιλ.",10.8,netherlands
25,Bunq,L1,2  yrs,"Amsterdam, NH, Netherlands ","4,2 χιλ. | N/A | N/A",4.2,netherlands
26,Just Eat Takeaway,Mid Level,2  yrs,"Enschede, OV, Netherlands ","4,9 χιλ. | N/A | N/A",4.9,netherlands
27,Het Beemd,Seniour,15  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
28,Booking.com,G,11  yrs,"Amsterdam, NH, Netherlands ","10,7 χιλ. | 2,9 χιλ. | 2,1 χιλ.",10.7,netherlands
29,Avisi B.V.,-,2  yrs,"Arnhem, GE, Netherlands ","3,3 χιλ. | N/A | 166,7",3.3,netherlands
30,IMC,L4,5  yrs,"Amsterdam, NH, Netherlands ","9,2 χιλ. | N/A | 4,2 χιλ.",9.2,netherlands
31,Ahold Delhaize,-,2  yrs,"Utrecht, UT, Netherlands ","4,6 χιλ. | N/A | N/A",4.6,netherlands
32,Adyen,Software Engineer,5  yrs,"Amsterdam, NH, Netherlands ","5,4 χιλ. | 462,7 | N/A",5.4,netherlands
33,Protolabs,-,7  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
34,Ahold Delhaize,Senior,10  yrs,"Zaandam, NH, Netherlands ","8,2 χιλ. | N/A | 1 χιλ.",8.2,netherlands
35,Deloitte,L3,3  yrs,"Amsterdam, NH, Netherlands ","5,1 χιλ. | N/A | 500",5.1,netherlands
36,Booking.com,F,9  yrs,"Amsterdam, NH, Netherlands ","8,6 χιλ. | 1,5 χιλ. | 1,3 χιλ.",8.6,netherlands
37,ING,hidden,11+  yrs,"Amsterdam, NH, Netherlands ",10 χιλ. | N/A | N/A,10,netherlands
38,CerQlar,Mid,8  yrs,"Amsterdam, NH, Netherlands ","6,2 χιλ. | N/A | N/A",6.2,netherlands
39,Booking.com,F,7  yrs,"Amsterdam, NH, Netherlands ","7,3 χιλ. | 1,4 χιλ. | 1,1 χιλ.",7.3,netherlands
40,Booking.com,G,17  yrs,"Amsterdam, NH, Netherlands ","10,4 χιλ. | 3,3 χιλ. | 2,1 χιλ.",10.4,netherlands
41,Road.io,Software Engineer,4  yrs,"Amsterdam, NH, Netherlands ",7 χιλ. | N/A | N/A,7,netherlands
42,Databricks,L4,7  yrs,"Amsterdam, NH, Netherlands ","7,7 χιλ. | 3,3 χιλ. | 1 χιλ.",7.7,netherlands
43,Uber,Senior Software Engineer,10  yrs,"Amsterdam, NH, Netherlands ","10,3 χιλ. | 8,3 χιλ. | 2,5 χιλ.",10.3,netherlands
44,Elastic,C6,15  yrs,"Amsterdam, NH, Netherlands ","9,8 χιλ. | 2,5 χιλ. | N/A",9.8,netherlands
45,Uber,Senior Software Engineer,6  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | 6,7 χιλ. | 2,1 χιλ.",9.6,netherlands
46,ASML,L8,15  yrs,"Veldhoven, NB, Netherlands ","9,2 χιλ. | N/A | 1,4 χιλ.",9.2,netherlands
47,Booking.com,F,17  yrs,"Amsterdam, NH, Netherlands ","17,3 χιλ. | N/A | N/A",17.3,netherlands
48,City Of Amsterdam,Medior,6  yrs,"Amsterdam, NH, Netherlands ","4,7 χιλ. | N/A | N/A",4.7,netherlands
49,Booking.com,F,10  yrs,"Amsterdam, NH, Netherlands ","8,7 χιλ. | 1,7 χιλ. | 1,2 χιλ.",8.7,netherlands
50,Booking.com,F,10  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 1,7 χιλ. | 1,3 χιλ.",8.3,netherlands
51,CGI,2,3  yrs,"Rotterdam, ZH, Netherlands ","5,2 χιλ. | N/A | N/A",5.2,netherlands
52,Picnic,Junior,0  yrs,"Amsterdam, NH, Netherlands ","4,8 χιλ. | N/A | N/A",4.8,netherlands
53,Adyen,Software Engineer,8  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 1,7 χιλ. | N/A",8.3,netherlands
54,Backbase,P3,9  yrs,"Amsterdam, NH, Netherlands ","6,2 χιλ. | N/A | N/A",6.2,netherlands
55,Rabobank,9,10  yrs,"Utrecht, UT, Netherlands ","7,9 χιλ. | N/A | N/A",7.9,netherlands
56,Nebius,G17,12  yrs,"Amsterdam, NH, Netherlands ","10 χιλ. | N/A | 1,7 χιλ.",10,netherlands
57,N/A,-,7  yrs,"Heerhugowaard, NH, Netherlands ","5,5 χιλ. | N/A | N/A",5.5,netherlands
58,Google,L4,10  yrs,"Amsterdam, NH, Netherlands ","11,7 χιλ. | 3,3 χιλ. | N/A",11.7,netherlands
59,Optiver,L3,1  yr,"Amsterdam, NH, Netherlands ","13 χιλ. | N/A | 5,4 χιλ.",13,netherlands
60,Uber,Staff Software Engineer,13  yrs,"Amsterdam, NH, Netherlands ","12,2 χιλ. | 14,3 χιλ. | 2,4 χιλ.",12.2,netherlands
61,Booking.com,F,23  yrs,"Amsterdam, NH, Netherlands ","9,3 χιλ. | 1,4 χιλ. | 1,2 χιλ.",9.3,netherlands
62,N/A,hidden,11+  yrs,"The Hague, ZH, Netherlands ","7,9 χιλ. | N/A | N/A",7.9,netherlands
63,JetBrains,L2,10  yrs,"Amsterdam, NH, Netherlands ","6,4 χιλ. | N/A | N/A",6.4,netherlands
64,ASML,L7,7  yrs,"Veldhoven, NB, Netherlands ","8 χιλ. | N/A | 1,4 χιλ.",8,netherlands
65,Picnic,Senior,5  yrs,"Amsterdam, NH, Netherlands ","6,3 χιλ. | N/A | N/A",6.3,netherlands
66,ASML,L7,10  yrs,"Eindhoven, NB, Netherlands ","5,5 χιλ. | N/A | N/A",5.5,netherlands
67,Booking.com,G,12  yrs,"Amsterdam, NH, Netherlands ","10 χιλ. | 3,3 χιλ. | 2 χιλ.",10,netherlands
68,Tiquets,3,5  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
69,N/A,-,0  yrs,"Utrecht, UT, Netherlands ","3,5 χιλ. | N/A | N/A",3.5,netherlands
70,Flow Traders,L4,17  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | N/A | 2,5 χιλ.",8.3,netherlands
71,Booking.com,F,10  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 1,4 χιλ. | N/A",8.3,netherlands
72,Flow Traders,L5,15  yrs,"Amsterdam, NH, Netherlands ","10 χιλ. | N/A | 2,5 χιλ.",10,netherlands
73,Lemonade,Senior,10  yrs,"Amsterdam, NH, Netherlands ","9,2 χιλ. | 10,6 χιλ. | N/A",9.2,netherlands
74,Sendcloud,Senior Engineer,5-10  yrs,"Eindhoven, NB, Netherlands ","8,3 χιλ. | N/A | N/A",8.3,netherlands
75,ABN AMRO,Intermediate,7  yrs,"Amsterdam, NH, Netherlands ","7,1 χιλ. | N/A | N/A",7.1,netherlands
76,Booking.com,F,4  yrs,"Amsterdam, NH, Netherlands ","7,2 χιλ. | N/A | N/A",7.2,netherlands
77,Stream,L1,2  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
78,Amazon,SDE II,10  yrs,"The Hague, ZH, Netherlands ","8,8 χιλ. | 4,2 χιλ. | N/A",8.8,netherlands
79,JW Player,Senior,11  yrs,"Eindhoven, NB, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
80,Adyen,Senior Software Engineer,13  yrs,"Amsterdam, NH, Netherlands ","10 χιλ. | 2,1 χιλ. | N/A",10,netherlands
81,KLM Royal Dutch A...,MSG1,3  yrs,"Amsterdam, NH, Netherlands ","4,8 χιλ. | N/A | 783,3",4.8,netherlands
82,Irdeto,hidden,11+  yrs,"Hoofddorp, NH, Netherlands ","6,9 χιλ. | N/A | 583,3",6.9,netherlands
83,Albert Heijn,Senior,10  yrs,"Zaandam, NH, Netherlands ",8 χιλ. | N/A | N/A,8,netherlands
84,Booking.com,E,4  yrs,"Amsterdam, NH, Netherlands ","6 χιλ. | N/A | 1,3 χιλ.",6,netherlands
85,EPAM Systems,L3,8  yrs,"Amsterdam, NH, Netherlands ","6,7 χιλ. | N/A | N/A",6.7,netherlands
86,Kramp,-,9  yrs,"Utrecht, UT, Netherlands ","6,3 χιλ. | N/A | 416,7",6.3,netherlands
87,Sytac,L3,9  yrs,"Amsterdam, NH, Netherlands ","6,2 χιλ. | N/A | 975",6.2,netherlands
88,Microsoft,Senior SDE,18  yrs,"Amsterdam, NH, Netherlands ","8,2 χιλ. | 1,7 χιλ. | 700",8.2,netherlands
89,Facebook,E5,7  yrs,"Amsterdam, NH, Netherlands ","10,7 χιλ. | 13,7 χιλ. | 1,3 χιλ.",10.7,netherlands
90,Kinetiq,Senior,20  yrs,"Eindhoven, NB, Netherlands ","7,1 χιλ. | N/A | N/A",7.1,netherlands
91,Signicat,L2,5  yrs,"Rotterdam, ZH, Netherlands ","4,6 χιλ. | N/A | N/A",4.6,netherlands
92,Booking.com,Senior Software Engineer II,10  yrs,"Amsterdam, NH, Netherlands ","11,4 χιλ. | 2,9 χιλ. | 2,3 χιλ.",11.4,netherlands
93,Mollie,Software Engineer 1,5  yrs,"Amsterdam, NH, Netherlands ","5,4 χιλ. | N/A | 500",5.4,netherlands
94,Miro,L6,10  yrs,"Amsterdam, NH, Netherlands ","9,7 χιλ. | N/A | N/A",9.7,netherlands
95,TomTom,Software Engineer I,2  yrs,"Eindhoven, NB, Netherlands ","4,9 χιλ. | N/A | N/A",4.9,netherlands
96,Miro,Senior SWE,13  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | 4,2 χιλ. | N/A",10.8,netherlands
97,Mollie,Senior Engineer,8  yrs,"Amsterdam, NH, Netherlands ","7,2 χιλ. | N/A | N/A",7.2,netherlands
98,Adevinta,13,12  yrs,"Amsterdam, NH, Netherlands ","8,2 χιλ. | N/A | 1,9 χιλ.",8.2,netherlands
99,Tu Delft,L1,3  yrs,"Delft, ZH, Netherlands ","3,4 χιλ. | N/A | 333,3",3.4,netherlands
100,Harver,L2,9  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | N/A | N/A",7.5,netherlands
101,Xebia,Medior,7  yrs,"Amsterdam, NH, Netherlands ","6,8 χιλ. | N/A | N/A",6.8,netherlands
102,Nebius,G18,8  yrs,"Amsterdam, NH, Netherlands ","14,2 χιλ. | 1,6 χιλ. | N/A",14.2,netherlands
103,DeepL,E2,10  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 2 χιλ. | N/A",8.3,netherlands
104,Funda,Medior,8  yrs,"Amsterdam, NH, Netherlands ","6,5 χιλ. | N/A | 500",6.5,netherlands
105,Nebius,G17,6  yrs,"Amsterdam, NH, Netherlands ","12,5 χιλ. | 1,6 χιλ. | N/A",12.5,netherlands
106,Booking.com,F,8  yrs,"Amsterdam, NH, Netherlands ","8,1 χιλ. | 1,7 χιλ. | 1,3 χιλ.",8.1,netherlands
107,Booking.com,F,10  yrs,"Amsterdam, NH, Netherlands ","8,6 χιλ. | 2,2 χιλ. | 2,2 χιλ.",8.6,netherlands
108,Booking.com,F,7  yrs,"Amsterdam, NH, Netherlands ",9 χιλ. | N/A | N/A,9,netherlands
109,Tno,L1,0  yrs,"Delft, ZH, Netherlands ","4,2 χιλ. | N/A | N/A",4.2,netherlands
110,NN Group,Medior,4  yrs,"The Hague, ZH, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
111,Booking.com,-,4  yrs,"Amsterdam, NH, Netherlands ","7,2 χιλ. | N/A | 666,7",7.2,netherlands
112,Adyen,II,10  yrs,"Amsterdam, NH, Netherlands ","8,1 χιλ. | 916,7 | N/A",8.1,netherlands
113,N/A,-,4  yrs,"Enschede, OV, Netherlands ","3,5 χιλ. | N/A | N/A",3.5,netherlands
114,Capgemini,B2,3  yrs,"Utrecht, UT, Netherlands ",4 χιλ. | N/A | N/A,4,netherlands
115,IKEA,Software Engineer,6  yrs,"Amsterdam, NH, Netherlands ","6,6 χιλ. | N/A | N/A",6.6,netherlands
116,CGI,L2,3  yrs,"Rotterdam, ZH, Netherlands ","4,2 χιλ. | N/A | N/A",4.2,netherlands
117,Toyota USA,16,15  yrs,"Eindhoven, NB, Netherlands ","6,9 χιλ. | N/A | N/A",6.9,netherlands
118,Brenntag,-,12  yrs,"Amsterdam, NH, Netherlands ","10,4 χιλ. | N/A | 1 χιλ.",10.4,netherlands
119,Facebook,E5,11  yrs,"Amsterdam, NH, Netherlands ","12,5 χιλ. | 16,7 χιλ. | 2,3 χιλ.",12.5,netherlands
120,Datasnipper,L3,10  yrs,"Amsterdam, NH, Netherlands ","9,2 χιλ. | N/A | N/A",9.2,netherlands
121,Uber,Software Engineer II,8  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 2,5 χιλ. | 1 χιλ.",8.3,netherlands
122,Personio,L5B,15  yrs,"Amsterdam, NH, Netherlands ","10,5 χιλ. | N/A | N/A",10.5,netherlands
123,Nebius,G17,5  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 3,6 χιλ. | 1,7 χιλ.",8.3,netherlands
124,EPAM Systems,L5,15  yrs,"Amsterdam, NH, Netherlands ","9,1 χιλ. | 833,3 | 833,3",9.1,netherlands
125,Xebia,Medior,8  yrs,"Amsterdam, NH, Netherlands ",5 χιλ. | N/A | N/A,5,netherlands
126,WeTravel,Senior,11+  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | N/A | N/A",7.9,netherlands
127,Nebius,G17,7  yrs,"Amsterdam, NH, Netherlands ","8,1 χιλ. | 1,1 χιλ. | 1,3 χιλ.",8.1,netherlands
128,FareHarbor,G,20  yrs,"Amsterdam, NH, Netherlands ","10,5 χιλ. | 2,8 χιλ. | 2,4 χιλ.",10.5,netherlands
129,IMC,L2,2  yrs,"Amsterdam, NH, Netherlands ","9,2 χιλ. | N/A | 5 χιλ.",9.2,netherlands
130,Booking.com,F,7  yrs,"Amsterdam, NH, Netherlands ","8,8 χιλ. | 2 χιλ. | 1,8 χιλ.",8.8,netherlands
131,Capgemini,B2,7  yrs,"Eindhoven, NB, Netherlands ","4,6 χιλ. | N/A | N/A",4.6,netherlands
132,Visa,Senior Staff Software Engineer,18  yrs,"Rotterdam, ZH, Netherlands ","8,8 χιλ. | 1,3 χιλ. | 3,2 χιλ.",8.8,netherlands
133,Uber,Software Engineer II,7  yrs,"Amsterdam, NH, Netherlands ","8,8 χιλ. | 4 χιλ. | 1,3 χιλ.",8.8,netherlands
134,Dubizzle Group,Principal,12  yrs,"The Hague, ZH, Netherlands ","13,2 χιλ. | 2,8 χιλ. | N/A",13.2,netherlands
135,Amazon,SDE II,7  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | 2,9 χιλ. | N/A",7.9,netherlands
136,Uber,Software Engineer II,7  yrs,"Amsterdam, NH, Netherlands ","8,6 χιλ. | 4,2 χιλ. | 1,2 χιλ.",8.6,netherlands
137,Miro,Staff SWE,10  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | N/A | N/A",10.8,netherlands
138,ASML,L6,0  yrs,"Veldhoven, NB, Netherlands ","4,6 χιλ. | N/A | N/A",4.6,netherlands
139,ASB security,Senior,10  yrs,"Eindhoven, NB, Netherlands ","4,1 χιλ. | N/A | N/A",4.1,netherlands
140,TomTom,Software Engineer II,5  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
141,Box,L7,9  yrs,"Amsterdam, NH, Netherlands ","11,2 χιλ. | 3,3 χιλ. | 229,2",11.2,netherlands
142,ING,Software Engineer 1,0  yrs,"Amsterdam, NH, Netherlands ","4,6 χιλ. | N/A | N/A",4.6,netherlands
143,Backbase,L2,6  yrs,"Amsterdam, NH, Netherlands ","5,7 χιλ. | N/A | 522,5",5.7,netherlands
144,Adevinta,13,15  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | N/A | 2,5 χιλ.",7.9,netherlands
145,Picnic,L3,3  yrs,"Amsterdam, NH, Netherlands ","5,2 χιλ. | N/A | N/A",5.2,netherlands
146,Coosto,Junior,1  yr,"Eindhoven, NB, Netherlands ","3,8 χιλ. | N/A | N/A",3.8,netherlands
147,Block,Level 5,14  yrs,"Amsterdam, NH, Netherlands ","10,6 χιλ. | 5,8 χιλ. | N/A",10.6,netherlands
148,ING,Software Engineer 3,5  yrs,"Amsterdam, NH, Netherlands ","6,9 χιλ. | N/A | N/A",6.9,netherlands
149,ABN Amro,2,5  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | N/A | N/A",8.3,netherlands
150,PostNL,hidden,5-10  yrs,"The Hague, ZH, Netherlands ",6 χιλ. | N/A | N/A,6,netherlands
151,Aegon,L3,19  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | N/A | N/A",9.6,netherlands
152,Miro,Senior SWE,7  yrs,"Amsterdam, NH, Netherlands ","11,3 χιλ. | N/A | N/A",11.3,netherlands
153,Capgemini,C2,15  yrs,"Amsterdam, NH, Netherlands ","7,3 χιλ. | N/A | N/A",7.3,netherlands
154,ING,Software Engineer 4,8  yrs,"Amsterdam, NH, Netherlands ",8 χιλ. | N/A | N/A,8,netherlands
155,Booking.com,G,10  yrs,"Amsterdam, NH, Netherlands ","10 χιλ. | 5 χιλ. | 3,3 χιλ.",10,netherlands
156,Tesla,P2,7  yrs,"Amsterdam, NH, Netherlands ","7,1 χιλ. | 625 | N/A",7.1,netherlands
157,Amazon,SDE III,12  yrs,"Amsterdam, NH, Netherlands ","8,4 χιλ. | 5 χιλ. | N/A",8.4,netherlands
158,Datasnipper,Senior,8  yrs,"Amsterdam, NH, Netherlands ","8,7 χιλ. | N/A | N/A",8.7,netherlands
159,Nexler,L3,7  yrs,"Groningen, GR, Netherlands ","7,1 χιλ. | N/A | N/A",7.1,netherlands
160,N/A,hidden,2-4  yrs,"Amsterdam, NH, Netherlands ","5,3 χιλ. | N/A | N/A",5.3,netherlands
161,ABN AMRO,Junior,2  yrs,"Amsterdam, NH, Netherlands ","5,4 χιλ. | N/A | N/A",5.4,netherlands
162,XITE,Senior,9  yrs,"Amsterdam, NH, Netherlands ","5,7 χιλ. | N/A | N/A",5.7,netherlands
163,Brenntag,-,12  yrs,"Amsterdam, NH, Netherlands ","10,4 χιλ. | N/A | N/A",10.4,netherlands
164,Conclusion,L3,7  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
165,Evolution Gaming,hidden,5-10  yrs,"Amsterdam, NH, Netherlands ","6,3 χιλ. | N/A | N/A",6.3,netherlands
166,PIA Service,-,6  yrs,"Sneek, FR, Netherlands ",3 χιλ. | N/A | N/A,3,netherlands
167,Deloitte,L3,9  yrs,"Amsterdam, NH, Netherlands ","8,9 χιλ. | N/A | 666,7",8.9,netherlands
168,Alliander,medior software engineer,2  yrs,"Arnhem, GE, Netherlands ","4,2 χιλ. | N/A | 250",4.2,netherlands
169,Uber,Senior Software Engineer,9  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | 6,1 χιλ. | 2,6 χιλ.",10.8,netherlands
170,Airspace,L1,12  yrs,"Amsterdam, NH, Netherlands ","8,5 χιλ. | N/A | N/A",8.5,netherlands
171,Miro,L6,12  yrs,"Amsterdam, NH, Netherlands ",10 χιλ. | N/A | N/A,10,netherlands
172,IMC,L1,1  yr,"Amsterdam, NH, Netherlands ","13,3 χιλ. | N/A | N/A",13.3,netherlands
173,Studocu,hidden,11+  yrs,"Amsterdam, NH, Netherlands ",6 χιλ. | N/A | N/A,6,netherlands
174,Bynder,L3,3  yrs,"Rotterdam, ZH, Netherlands ","3,2 χιλ. | N/A | N/A",3.2,netherlands
175,Uber,Software Engineer I,2  yrs,"Amsterdam, NH, Netherlands ","5,4 χιλ. | 1,7 χιλ. | 666,7",5.4,netherlands
176,Adevinta,13,14  yrs,"Amsterdam, NH, Netherlands ","6,3 χιλ. | N/A | N/A",6.3,netherlands
177,JetBrains,L4,13  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | N/A | 750",10.8,netherlands
178,KPN,Junior,0  yrs,"Rotterdam, ZH, Netherlands ","4,6 χιλ. | N/A | N/A",4.6,netherlands
179,Optiver,L3,1  yr,"Amsterdam, NH, Netherlands ","8,3 χιλ. | N/A | 10,4 χιλ.",8.3,netherlands
180,Booking.com,D,2  yrs,"Amsterdam, NH, Netherlands ","5,1 χιλ. | N/A | N/A",5.1,netherlands
181,KLM,L2,13  yrs,"Amsterdam, NH, Netherlands ","5,7 χιλ. | N/A | 500",5.7,netherlands
182,N/A,-,6  yrs,"Amsterdam, NH, Netherlands ",6 χιλ. | N/A | 500,6,netherlands
183,Sytac,Senior,8  yrs,"Haarlem, NH, Netherlands ","6,5 χιλ. | N/A | N/A",6.5,netherlands
184,Adyen,Software Engineer,5  yrs,"Amsterdam, NH, Netherlands ","6,3 χιλ. | 133,3 | N/A",6.3,netherlands
185,Mollie,Senior Engineer,12  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | N/A | 691,7",8.3,netherlands
186,JetBrains,L3,3  yrs,"Amsterdam, NH, Netherlands ","5,7 χιλ. | N/A | N/A",5.7,netherlands
187,IMC,L1,0  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | N/A | 3,6 χιλ.",8.3,netherlands
188,Booking.com,F,7  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 1,7 χιλ. | 1,2 χιλ.",8.3,netherlands
189,Adevinta,12,10  yrs,"Amsterdam, NH, Netherlands ","7,3 χιλ. | N/A | 833,3",7.3,netherlands
190,Bitvavo,L2,3  yrs,"Amsterdam, NH, Netherlands ",7 χιλ. | N/A | N/A,7,netherlands
191,Nvidia,IC7,19  yrs,"Utrecht, UT, Netherlands ","17,7 χιλ. | 35 χιλ. | N/A",17.7,netherlands
192,IKEA,Software Engineer,15  yrs,"Amsterdam, NH, Netherlands ","7,3 χιλ. | N/A | N/A",7.3,netherlands
193,Booking.com,G,7  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | 3,3 χιλ. | N/A",9.6,netherlands
194,Deloitte,L3,8  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | N/A | 583,3",7.9,netherlands
195,Metabob,Junior,1  yr,"Amsterdam, NH, Netherlands ","2,7 χιλ. | 1 χιλ. | N/A",2.7,netherlands
196,IKEA,L2,9  yrs,"Amsterdam, NH, Netherlands ","6,8 χιλ. | N/A | N/A",6.8,netherlands
197,Booking.com,G,7  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | 5 χιλ. | 3,3 χιλ.",9.6,netherlands
198,TomTom,Software Engineer I,1  yr,"Amsterdam, NH, Netherlands ","5,2 χιλ. | N/A | N/A",5.2,netherlands
199,Eurazeo,-,8  yrs,"Utrecht, UT, Netherlands ","6,3 χιλ. | N/A | 208,3",6.3,netherlands
200,Adyen,Software Engineer,7  yrs,"Amsterdam, NH, Netherlands ","6,3 χιλ. | 1,2 χιλ. | 1,2 χιλ.",6.3,netherlands
201,Bright Society,-,0  yrs,"Eindhoven, NB, Netherlands ","4,6 χιλ. | N/A | N/A",4.6,netherlands
202,Adyen,Software Engineer,5  yrs,"Amsterdam, NH, Netherlands ","5,7 χιλ. | 1,2 χιλ. | 1 χιλ.",5.7,netherlands
203,Schuberg Philis,-,6  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | N/A | N/A",7.9,netherlands
204,Coolblue,Senior,5  yrs,"Rotterdam, ZH, Netherlands ","5,6 χιλ. | N/A | N/A",5.6,netherlands
205,Adyen,Senior Software Engineer,12  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 6,7 χιλ. | N/A",8.3,netherlands
206,Studocu,Senior,7  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
207,Microsoft,62,8  yrs,"Amsterdam, NH, Netherlands ","6,5 χιλ. | 1,3 χιλ. | 833,3",6.5,netherlands
208,Databricks,L4,7  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | 1,7 χιλ. | N/A",7.5,netherlands
209,Booking.com,F,10  yrs,"Amsterdam, NH, Netherlands ","8,7 χιλ. | 1,7 χιλ. | 1,6 χιλ.",8.7,netherlands
210,Clickhouse,Senior,15  yrs,"Amsterdam, NH, Netherlands ","11,3 χιλ. | N/A | N/A",11.3,netherlands
