,Company,Level,Years of Experience,City,Total Compensation,Salary,Germany
145,Aleph Alpha,IC3,5-10  yrs,"Heidelberg, BW, Germany ","12,5 χιλ. | 8,3 χιλ. | 1,7 χιλ.",12.5,Germany
146,Celonis,IC2,4  yrs,"Munich, BY, Germany ","6,3 χιλ. | 833,3 | 333,3",6.3,Germany
147,JetBrains,hidden,11+  yrs,"Munich, BY, Germany ","10,1 χιλ. | N/A | 1,7 χιλ.",10.1,Germany
148,Schwarz Dienstlei...,Professional,4  yrs,"Heilbronn, BW, Germany ","5,9 χιλ. | N/A | N/A",5.9,Germany
149,Align Technology,L7,15  yrs,"Berlin, BE, Germany ",10 χιλ. | N/A | N/A,10,Germany
150,Mozilla,P3,10  yrs,"Berlin, BE, Germany ","8,7 χιλ. | N/A | 1,7 χιλ.",8.7,Germany
151,Giesecke+Devrient,Senior,5-10  yrs,"Munich, BY, Germany ","7,1 χιλ. | N/A | 250",7.1,Germany
152,Technische Hochsc...,Senior,25  yrs,"Ingolstadt, BY, Germany ","6,9 χιλ. | N/A | 166,7",6.9,Germany
153,Parloa,hidden,2-4  yrs,"Berlin, BE, Germany ",5 χιλ. | N/A | N/A,5,Germany
154,Microsoft,Principal SDE,20  yrs,"Munich, BY, Germany ","15,4 χιλ. | 3,3 χιλ. | N/A",15.4,Germany
155,Sim,IC5,7  yrs,"Bad Homburg, HE, Germany ","7,4 χιλ. | N/A | 285",7.4,Germany
156,Vestiaire Collective,hidden,5-10  yrs,"Berlin, BE, Germany ","7,9 χιλ. | N/A | 583,3",7.9,Germany
157,Zentek,Senior Software Engineer,10  yrs,"Cologne, NW, Germany ","6,2 χιλ. | N/A | N/A",6.2,Germany
158,IBM,Associate Engineer,4  yrs,"Sindelfingen, BW, Germany ","5,8 χιλ. | 600 | 166,7",5.8,Germany
159,Infineon Technolo...,Staff Software Engineer,6  yrs,"Munich, BY, Germany ","8,3 χιλ. | N/A | 531,4",8.3,Germany
160,Wayfair,L4,15  yrs,"Berlin, BE, Germany ","11,2 χιλ. | 12,5 χιλ. | N/A",11.2,Germany
161,LucaNet,hidden,5-10  yrs,"Berlin, BE, Germany ","5,7 χιλ. | N/A | 166,7",5.7,Germany
162,Framer,Senior,5-10  yrs,"Berlin, BE, Germany ","9,2 χιλ. | N/A | 916,7",9.2,Germany
163,Porsche,P2,2  yrs,"Stuttgart, BW, Germany ","3,8 χιλ. | N/A | N/A",3.8,Germany
164,Freshfields,Senior,5  yrs,"Berlin, BE, Germany ","9,2 χιλ. | N/A | N/A",9.2,Germany
165,Framer,L3,16  yrs,"Berlin, BE, Germany ",10 χιλ. | N/A | 1 χιλ.,10,Germany
166,N/A,hidden,5-10  yrs,"Berlin, BE, Germany ","8,5 χιλ. | N/A | N/A",8.5,Germany
167,Tesla,P3,2  yrs,"Berlin, BE, Germany ","8,3 χιλ. | 2,5 χιλ. | N/A",8.3,Germany
168,CHECK24,Software Engineer,6  yrs,"Munich, BY, Germany ","5,8 χιλ. | N/A | 416,7",5.8,Germany
169,N/A,-,4  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
170,Cariad,Software Engineer,6  yrs,"Ingolstadt, BY, Germany ","7,8 χιλ. | N/A | N/A",7.8,Germany
171,Zalando,C7,7  yrs,"Berlin, BE, Germany ","8,2 χιλ. | N/A | N/A",8.2,Germany
172,Cariad Se,-,17  yrs,"Ingolstadt, BY, Germany ","9,1 χιλ. | N/A | N/A",9.1,Germany
173,N/A,hidden,5-10  yrs,"Hamburg, HH, Germany ","6,5 χιλ. | N/A | N/A",6.5,Germany
174,NTT DATA,Lead Software Engineer,6  yrs,"Munich, BY, Germany ","6,5 χιλ. | N/A | N/A",6.5,Germany
175,Bosch Engineering,Mid Level Engineer,6  yrs,"Stuttgart, BW, Germany ","7,2 χιλ. | N/A | 500",7.2,Germany
176,Yager,L3,10  yrs,"Berlin, BE, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
177,Technical Univers...,13,11  yrs,"Berlin, BE, Germany ","2,8 χιλ. | N/A | N/A",2.8,Germany
178,Decathlon,L1,1  yr,"Stuttgart, BW, Germany ","2,6 χιλ. | N/A | N/A",2.6,Germany
179,Tesla,P3,5  yrs,"Berlin, BE, Germany ","9,6 χιλ. | 1,9 χιλ. | N/A",9.6,Germany
180,Decathlon,1,1  yr,"Stuttgart, BW, Germany ","2,6 χιλ. | N/A | N/A",2.6,Germany
181,Itestra,-,2  yrs,"Cologne, NW, Germany ","5,2 χιλ. | N/A | N/A",5.2,Germany
182,Recogni,L6,10  yrs,"Munich, BY, Germany ","12,5 χιλ. | N/A | N/A",12.5,Germany
183,Gropyus,Senior,11+  yrs,"Berlin, BE, Germany ","8,3 χιλ. | N/A | N/A",8.3,Germany
184,DWI,-,4  yrs,"Dortmund, NW, Germany ","4,2 χιλ. | N/A | N/A",4.2,Germany
185,Cubic,L3,5  yrs,"Hamburg, HH, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
186,Nokia,JG8,10  yrs,"Ulm, BW, Germany ","7,9 χιλ. | N/A | N/A",7.9,Germany
187,Siemens,T10,12  yrs,"Erlangen, BY, Germany ","8,1 χιλ. | N/A | 208,3",8.1,Germany
188,Elea.ai,-,7  yrs,"Hamburg, HH, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
189,Delivery Hero,IC3,7  yrs,"Berlin, BE, Germany ","8,3 χιλ. | 1,7 χιλ. | N/A",8.3,Germany
190,Deutsche Bank,Associate,2  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | 833,3",5.8,Germany
191,N/A,-,4  yrs,"Munster, NW, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
192,Philips,CG60,7  yrs,"Stuttgart, BW, Germany ","9,2 χιλ. | N/A | 271,6",9.2,Germany
193,Expleo Group,L2,3  yrs,"Berlin, BE, Germany ","4,2 χιλ. | N/A | N/A",4.2,Germany
194,Spedion,Entry,1  yr,"Aschaffenburg, BY, Germany ","4,9 χιλ. | N/A | 250",4.9,Germany
195,Bundeswehr,-,7  yrs,"Munich, BY, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
196,JetBrains,L2,2  yrs,"Berlin, BE, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
197,AMBOSS,hidden,11+  yrs,"Berlin, BE, Germany ","8,8 χιλ. | N/A | N/A",8.8,Germany
198,Scalable Capital,Staff Engineer,12  yrs,"Munich, BY, Germany ","8,7 χιλ. | 1,7 χιλ. | N/A",8.7,Germany
199,Vector Informatik,E2,3  yrs,"Stuttgart, BW, Germany ","6,8 χιλ. | N/A | 1 χιλ.",6.8,Germany
200,McMakler,Senior,13  yrs,"Berlin, BE, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
201,Doctolib,L2,4  yrs,"Berlin, BE, Germany ",6 χιλ. | N/A | N/A,6,Germany
202,EGYM,hidden,11+  yrs,"Munich, BY, Germany ","6,3 χιλ. | N/A | N/A",6.3,Germany
203,Deutsche Kreditba...,-,5  yrs,"Berlin, BE, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
204,Doola,L3,1  yr,"Hamburg, HH, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
205,Solenix Engineering,-,3  yrs,"Darmstadt, HE, Germany ","4,7 χιλ. | N/A | N/A",4.7,Germany
206,Contentful,IC4,8  yrs,"Berlin, BE, Germany ","8,2 χιλ. | N/A | N/A",8.2,Germany
207,Nvidia,IC4,7  yrs,"Berlin, BE, Germany ","10,2 χιλ. | 7,1 χιλ. | N/A",10.2,Germany
208,SAP,T1,2  yrs,"Berlin, BE, Germany ","4,9 χιλ. | 209,5 | 232,3",4.9,Germany
209,Mercedes-benz Tec...,Middle,8  yrs,"Ulm, BW, Germany ","7,2 χιλ. | N/A | N/A",7.2,Germany
210,Deutsche Bank,VP,15  yrs,"Berlin, BE, Germany ","10,5 χιλ. | N/A | 1,3 χιλ.",10.5,Germany
211,Henkel,MC3,9  yrs,"Dusseldorf, NW, Germany ","7,7 χιλ. | N/A | 1,2 χιλ.",7.7,Germany
212,HeyJobs,L3,6  yrs,"Berlin, BE, Germany ",7 χιλ. | N/A | N/A,7,Germany
213,Affinidi,S3,6  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | 583,3",5.8,Germany
214,Google,L4,9  yrs,"Munich, BY, Germany ","8,7 χιλ. | 6,5 χιλ. | 1,7 χιλ.",8.7,Germany
215,Zalando,C6,7  yrs,"Berlin, BE, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
216,ProSiebenSat.1,Senior,6  yrs,"Munich, BY, Germany ","6,8 χιλ. | N/A | N/A",6.8,Germany
217,Circus Group,Senior,8  yrs,"Hamburg, HH, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
218,Zalando,C7,11  yrs,"Berlin, BE, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
219,Nrw Bank,L3,5  yrs,"Cologne, NW, Germany ","6,2 χιλ. | N/A | N/A",6.2,Germany
220,Klarna,L3,9  yrs,"Berlin, BE, Germany ","6,9 χιλ. | N/A | N/A",6.9,Germany
221,Delivery Hero,IC3,9  yrs,"Berlin, BE, Germany ","8,2 χιλ. | 1,5 χιλ. | N/A",8.2,Germany
222,Agentic AI,L3,8  yrs,"Berlin, BE, Germany ","5 χιλ. | 833,3 | N/A",5,Germany
223,Volkswagen Infota...,Senior,5-10  yrs,"Bochum, NW, Germany ","6,3 χιλ. | N/A | 666,7",6.3,Germany
224,Rohde & Schwarz,L1,0  yrs,"Memmingen, BY, Germany ","4,5 χιλ. | N/A | N/A",4.5,Germany
225,Technical Univers...,hidden,5-10  yrs,"Munich, BY, Germany ","4,7 χιλ. | N/A | N/A",4.7,Germany
226,Zalando,C7,15  yrs,"Berlin, BE, Germany ","9,2 χιλ. | N/A | N/A",9.2,Germany
227,Bosch Global,EG16,12  yrs,"Stuttgart, BW, Germany ","8 χιλ. | 1,3 χιλ. | N/A",8,Germany
228,Trade Republic,Software Engineer II,5  yrs,"Berlin, BE, Germany ","7,7 χιλ. | N/A | N/A",7.7,Germany
229,N/A,hidden,2-4  yrs,"Berlin, BE, Germany ","3,7 χιλ. | N/A | N/A",3.7,Germany
230,Akkodis,L3,4  yrs,"Magdeburg, ST, Germany ","4,4 χιλ. | N/A | N/A",4.4,Germany
